sample id,region id,cell id,movie id,global_start_frame,path
20250722-2,0,46,0,0,20250722-2/000046-0.npy
20250722-2,0,46,1,20,20250722-2/000046-1.npy
20250722-2,0,46,2,40,20250722-2/000046-2.npy
20250722-2,0,47,0,0,20250722-2/000047-0.npy
20250722-2,0,47,1,20,20250722-2/000047-1.npy
20250722-2,0,47,2,40,20250722-2/000047-2.npy
20250722-2,0,48,0,0,20250722-2/000048-0.npy
20250722-2,0,48,1,20,20250722-2/000048-1.npy
20250722-2,0,48,2,40,20250722-2/000048-2.npy
20250722-2,0,49,0,0,20250722-2/000049-0.npy
20250722-2,0,49,1,20,20250722-2/000049-1.npy
20250722-2,0,49,2,40,20250722-2/000049-2.npy
20250722-2,0,50,0,0,20250722-2/000050-0.npy
20250722-2,0,50,1,20,20250722-2/000050-1.npy
20250722-2,0,50,2,40,20250722-2/000050-2.npy
20250722-2,0,51,0,0,20250722-2/000051-0.npy
20250722-2,0,51,1,20,20250722-2/000051-1.npy
20250722-2,0,51,2,40,20250722-2/000051-2.npy
20250722-2,0,52,0,0,20250722-2/000052-0.npy
20250722-2,0,52,1,20,20250722-2/000052-1.npy
20250722-2,0,52,2,40,20250722-2/000052-2.npy
20250722-2,0,53,0,0,20250722-2/000053-0.npy
20250722-2,0,53,1,20,20250722-2/000053-1.npy
20250722-2,0,53,2,40,20250722-2/000053-2.npy
20250722-2,0,54,0,0,20250722-2/000054-0.npy
20250722-2,0,54,1,20,20250722-2/000054-1.npy
20250722-2,0,54,2,40,20250722-2/000054-2.npy
20250722-2,0,55,0,0,20250722-2/000055-0.npy
20250722-2,0,55,1,20,20250722-2/000055-1.npy
20250722-2,0,55,2,40,20250722-2/000055-2.npy
20250722-2,0,56,0,0,20250722-2/000056-0.npy
20250722-2,0,56,1,20,20250722-2/000056-1.npy
20250722-2,0,56,2,40,20250722-2/000056-2.npy
20250722-2,0,57,0,0,20250722-2/000057-0.npy
20250722-2,0,57,1,20,20250722-2/000057-1.npy
20250722-2,0,57,2,40,20250722-2/000057-2.npy
20250722-2,0,58,0,0,20250722-2/000058-0.npy
20250722-2,0,58,1,20,20250722-2/000058-1.npy
20250722-2,0,58,2,40,20250722-2/000058-2.npy
20250722-2,0,59,0,0,20250722-2/000059-0.npy
20250722-2,0,59,1,20,20250722-2/000059-1.npy
20250722-2,0,59,2,40,20250722-2/000059-2.npy
20250722-2,0,60,0,0,20250722-2/000060-0.npy
20250722-2,0,60,1,20,20250722-2/000060-1.npy
20250722-2,0,60,2,40,20250722-2/000060-2.npy
20250722-2,0,61,0,0,20250722-2/000061-0.npy
20250722-2,0,61,1,20,20250722-2/000061-1.npy
20250722-2,0,61,2,40,20250722-2/000061-2.npy
20250722-2,0,62,0,0,20250722-2/000062-0.npy
20250722-2,0,62,1,20,20250722-2/000062-1.npy
20250722-2,0,62,2,40,20250722-2/000062-2.npy
20250722-2,0,63,0,0,20250722-2/000063-0.npy
20250722-2,0,63,1,20,20250722-2/000063-1.npy
20250722-2,0,63,2,40,20250722-2/000063-2.npy
20250722-2,0,64,0,0,20250722-2/000064-0.npy
20250722-2,0,64,1,20,20250722-2/000064-1.npy
20250722-2,0,64,2,40,20250722-2/000064-2.npy
20250722-2,0,65,0,0,20250722-2/000065-0.npy
